model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'timm-mobilenetv3_large_100';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.006881611421704292, 0.0069654230028390884, 0.007416547276079655, 0.00796034187078476, 0.005989549681544304, 0.007510914467275143, 0.007765552494674921, 0.007855411618947983, 0.006699780933558941, 0.00848092045634985];[0.019159262999892235, 0.017359673976898193, 0.01687973365187645, 0.01802690327167511, 0.01645636186003685, 0.016309842467308044, 0.015898671001195908, 0.01795884035527706, 0.0173316802829504, 0.017896877601742744];[2.7370177606567125e-06, 7.071045516748864e-05, 2.2991405308037116e-05, 1.6765079611236189e-06, 5.699191819474869e-06, 2.6390374243345782e-05, 1.149602963490537e-06, 5.878414943372157e-06, 1.7898932592741446e-05, 1.6430487455032505e-06];[7.36970060533082e-08, 4.05977146344938e-08, 3.2814973405237424e-08, 4.1669207972994116e-08, 3.07340690675062e-08, 4.540028408772656e-08, 5.394941182679247e-08, 3.776454815529462e-08, 5.40182442110293e-08, 3.6181993623429776e-08];0.2;0.007352605322375893;0.0006892586174492032;0.0173277847468853;0.0009276265128594254;1.5677495150523413e-05;2.0417928341802002e-05;4.4682745303781245e-08;1.223383639482569e-08
'timm-mobilenetv3_large_100';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006016377359628677, 0.005805229768157005, 0.006176469847559929, 0.006267212796956301, 0.0055440207943320274, 0.0065182531252503395, 0.006271134130656719, 0.00616582902148366, 0.005399763584136963, 0.006084417458623648];[0.0006269178120419383, 0.0006523235351778567, 0.0005991797661408782, 0.0004146832798141986, 0.0006365458248183131, 0.0005904269637539983, 0.0005568078486248851, 0.0005872242036275566, 0.00047956383787095547, 0.001083819312043488];[0.9755782240663815, 0.9912975500058238, 0.9635906071185347, 0.9494661430847166, 0.9561813136534433, 0.9974308067033104, 0.97798648289015, 0.9831106863854866, 0.9121941083440672, 0.9957953457283598];[0.7318568737428319, 0.9976148957159771, 0.7640850790775903, 0.8903814895600047, 0.8589660439061091, 0.8344360165587628, 0.826656610016931, 0.9397505675959839, 0.9268810568114019, 0.9073342334347133];0.2;0.006024870788678527;0.0003285557436776623;0.0006227492383914068;0.000168722263240906;0.9702631267980273;0.02476434874243297;0.8677962866420306;0.07727453193411395
'timm-resnest50d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.005332352593541145, 0.005291177425533533, 0.005688618402928114, 0.005268423352390528, 0.005877848714590073, 0.005540953949093819, 0.005553781520575285, 0.005889112129807472, 0.005295290611684322, 0.005168729927390814];[0.017252467572689056, 0.01733538880944252, 0.017501359805464745, 0.016279395669698715, 0.016962658613920212, 0.01665499061346054, 0.017268002033233643, 0.01634935848414898, 0.016730494797229767, 0.017043685540556908];[0.8522798854504623, 0.5242037227917314, 0.5848873786196951, 0.9840756110615253, 0.7278741200277639, 0.8014660159490955, 0.5604148384831416, 0.5559139943957491, 0.7228869572019304, 0.5950506576516672];[0.8775993333564143, 0.8745388628549914, 0.8699312511676968, 0.9044610441771885, 0.8880297671300403, 0.9006944765012727, 0.8673764589331744, 0.8974845500321272, 0.8761208097457454, 0.8829667092155897];0.1;0.00549062886275351;0.00024706929336948624;0.01693778019398451;0.0003997838853921302;0.6909053181632762;0.14493844251022395;0.8839203263114241;0.012503084811241271
'timm-resnest50d';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004681195132434368, 0.005036168731749058, 0.004806977696716785, 0.004709344822913408, 0.005168559029698372, 0.005137074738740921, 0.00502832792699337, 0.0045750741846859455, 0.004941800143569708, 0.005103457719087601];[0.011220036074519157, 0.010784043930470943, 0.009651204571127892, 0.009743718430399895, 0.009889597073197365, 0.010034129023551941, 0.00958531629294157, 0.010483519174158573, 0.009696170687675476, 0.008975662291049957];[0.9982871667759549, 0.893644545782253, 0.8794999338824103, 0.9214833297796459, 0.9498557918770848, 0.9795839744238706, 0.9751786121311203, 0.8887052625748065, 0.9760515318170799, 0.8898435121781524];[0.9730120061835551, 0.9809972009445792, 0.9113573594738117, 0.8967513443282027, 0.9202197664282108, 0.9463707147621535, 0.8841476935030037, 0.928483558464876, 0.933198218257521, 0.8760373064771338];0.1;0.004918798012658954;0.0002003501704964674;0.010006339754909277;0.0006205510805252568;0.9352133661222378;0.04320685953025603;0.9250575168823048;0.03324165264398172
'timm-resnest50d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006104207597672939, 0.00525127537548542, 0.006540258415043354, 0.006496315822005272, 0.006041511427611113, 0.00589169654995203, 0.005831136833876371, 0.006214584689587355, 0.006149500608444214, 0.006715595256537199];[0.0002718823088798672, 0.0004900594940409064, 0.00027481437427923083, 0.0005276987212710083, 0.0004538944340310991, 0.0007099017966538668, 0.000524757953826338, 0.0003856477851513773, 0.0008989959605969489, 0.000543894711881876];[0.9296417560867071, 0.8965472065070185, 0.8598132900242388, 0.8925212715366889, 0.9275804408753341, 0.9382276356156665, 0.9302487467349788, 0.9484946507229359, 0.9031768398411458, 0.9467109431350765];[0.8506830694285984, 0.9580679791701682, 0.9860327254897904, 0.8285080457497864, 0.985449456054063, 0.9010953200696784, 0.9504065576749698, 0.9962463030894899, 0.9254078342837545, 0.9321577102834834];0.1;0.0061236082576215265;0.0003974050226582227;0.0005081547540612518;0.00017998490903077758;0.9172962781079791;0.026926940695872575;0.9314055001293783;0.054074376921547145
'xception';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.003979286644607782, 0.0041049085557460785, 0.0037494320422410965, 0.0036004185676574707, 0.0038811462000012398, 0.004362853243947029, 0.004171709530055523, 0.0035413112491369247, 0.003793122945353389, 0.0037016458809375763];[0.014199469238519669, 0.015041138976812363, 0.01413597073405981, 0.014788215979933739, 0.014190789312124252, 0.014458531513810158, 0.013688960112631321, 0.012845915742218494, 0.014601905830204487, 0.014271157793700695];[0.8741294596210221, 0.8856530946467013, 0.7869420717346037, 0.8626181782946107, 0.8215702718341101, 0.8980518826086429, 0.7587478967320956, 0.9437209297805081, 0.7579157450510541, 0.9010527949857657];[0.5990345859845089, 0.5881366078943804, 0.6220529618456752, 0.5883511867392103, 0.6030992716533, 0.6035713016112992, 0.6172334563258699, 0.6219358892498865, 0.6181641821110584, 0.599418055795955];0.1;0.003888583485968411;0.00025044552423575286;0.0142222055234015;0.0005814553332188044;0.8490402325289115;0.06106830025882785;0.6060997499211144;0.012338726380555963
'xception';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.0052987514063715935, 0.00402926467359066, 0.004510070662945509, 0.004957911092787981, 0.0046928091906011105, 0.004824932664632797, 0.004062735941261053, 0.004907804541289806, 0.004615536890923977, 0.004539917688816786];[0.010001149028539658, 0.010682756081223488, 0.00931366253644228, 0.010618406347930431, 0.00973297469317913, 0.009915629401803017, 0.011115837842226028, 0.010150855407118797, 0.010394951328635216, 0.010318439453840256];[0.8182567392976384, 0.9033065976405384, 0.8160639438912535, 0.7798763140255996, 0.7691319435125872, 0.8191862072387561, 0.8735379848529441, 0.7711675884419715, 0.7763929273462197, 0.9024236468674125];[0.9165966933114388, 0.9377971812093631, 0.9590821502700313, 0.9124657214959676, 0.9997453620668573, 0.9486498826011107, 0.9466036616280109, 0.936698381672368, 0.8979213820830033, 0.8668777910394196];0.1;0.004643973475322127;0.0003711198114395624;0.01022446621209383;0.0004918795078183813;0.8229343893114921;0.05001669770624213;0.9322438207377571;0.034481232976561756
'xception';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005919443443417549, 0.005427986849099398, 0.005359409376978874, 0.005320720374584198, 0.005361285526305437, 0.005460105836391449, 0.005676627159118652, 0.005683219525963068, 0.005099518224596977, 0.005489076487720013];[0.0007166241994127631, 0.0006409541820175946, 0.0005977362743578851, 0.00036762095987796783, 0.0002520362613722682, 0.00045137153938412666, 0.00031927769305184484, 0.0005160012515261769, 0.0005824693944305182, 0.0008371096337214112];[0.9747959035399001, 0.9901887886256339, 0.9881327967746576, 0.9569238087262377, 0.9720670963716934, 0.9642260839505579, 0.9804175199230779, 0.9565621676165709, 0.9667316902029641, 0.9965521309928028];[0.7993155893031683, 0.7201568032372629, 0.77384713001589, 0.7593617101151601, 0.945101494555498, 0.7680143631708525, 0.8953615022661141, 0.7111818051399748, 0.7720261582044518, 0.7172629367955141];0.1;0.0054797392804175615;0.00021795077632452952;0.0005281201389152557;0.00017411913564080962;0.9746597986724097;0.013250072833825444;0.7861629492803887;0.07313287767143341
'vgg19_bn';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004282928071916103, 0.005213940981775522, 0.004745698533952236, 0.0044236984103918076, 0.0040839738212525845, 0.005306485574692488, 0.004867158830165863, 0.004436250776052475, 0.004338213242590427, 0.004766272380948067];[0.016227833926677704, 0.017017623409628868, 0.015797223895788193, 0.017369719222187996, 0.016256406903266907, 0.01658760756254196, 0.016981108114123344, 0.016156738623976707, 0.016030006110668182, 0.01620825007557869];[0.9748093235993578, 0.8850488987020007, 0.9290431108428038, 0.9220439157791048, 0.8847987190705119, 0.9872849613025166, 0.9333583265746334, 0.9753551869107558, 0.9891618912804102, 0.8740483286156159];[0.6513257124171039, 0.615314315864568, 0.6446162989782533, 0.6064431888345645, 0.6270769647329277, 0.633252052742584, 0.6340228437140842, 0.632645841698674, 0.6496086526503102, 0.6476211319782159];0.1;0.004646462062373758;0.00038313869053877996;0.016463251784443855;0.0004797007584147306;0.9354952662677712;0.04220725675231343;0.6341927003611286;0.014144026288705792
'vgg19_bn';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.006609180010855198, 0.007156030274927616, 0.007172940764576197, 0.0077850245870649815, 0.008456328883767128, 0.00754903070628643, 0.007874068804085255, 0.007872022688388824, 0.007037085480988026, 0.007709813769906759];[0.0176867563277483, 0.017759663984179497, 0.016613081097602844, 0.01826796680688858, 0.016321739181876183, 0.01868126168847084, 0.017011545598506927, 0.01648932322859764, 0.015484381467103958, 0.01811125874519348];[9.622186275315414e-06, 3.096705783078857e-05, 1.7173846671658666e-05, 2.567948908205331e-05, 1.9939127844259552e-05, 4.142269660745157e-05, 2.3924806790254216e-05, 1.0632724686043815e-05, 5.5061709195891595e-05, 5.956906242643445e-05];[5.856456006259059e-06, 6.269393458269157e-06, 7.948657720024954e-06, 6.481452000217658e-06, 7.6195136481382875e-06, 5.824015393729454e-06, 6.143191028762374e-06, 8.783399674916481e-06, 1.002435316188599e-05, 5.49673894134628e-06];0.1;0.007522152597084641;0.00050485480812453;0.017242697812616826;0.0009641963288002551;2.9399270741015115e-05;1.6558610910805345e-05;7.044717103354969e-06;1.4169758260228857e-06
'vgg19_bn';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.00678915623575449, 0.007331233471632004, 0.006466643884778023, 0.006953908130526543, 0.006174112670123577, 0.005949386395514011, 0.006054132245481014, 0.007111105136573315, 0.006403262261301279, 0.006192909553647041];[0.0009083898039534688, 0.00034850556403398514, 0.0005166019545868039, 0.0003740391694009304, 0.0007217189995571971, 0.0006054177647456527, 0.0005212277173995972, 0.00037619873182848096, 0.0004367996007204056, 0.0005295431474223733];[0.8725643806209091, 0.8704746242739709, 0.9998315645720364, 0.9885845546204561, 0.970718925265908, 0.9275497762488228, 0.9625996498433063, 0.895899498179936, 0.9792770066575783, 0.9712252628936184];[0.9857715944089357, 0.9921258065178422, 0.7424547825397012, 0.6807757234489891, 0.9512089862270611, 0.9777348180224794, 0.7640332095643088, 0.7084032392729726, 0.6577225992835809, 0.9660298702836981];0.1;0.00654258499853313;0.0004526432349469244;0.0005338442453648895;0.00016593278768951692;0.9438725243176543;0.04609079129425759;0.8426260629569569;0.13517605364235216
