model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'timm-mobilenetv3_large_100';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.00453956238925457, 0.004754527471959591, 0.0046598706394433975, 0.005007607396692038, 0.004055582452565432, 0.004688924178481102, 0.005139436572790146, 0.004467889666557312, 0.003671869868412614, 0.0043645575642585754];[0.0072455513291060925, 0.010647685267031193, 0.008396737277507782, 0.010839843191206455, 0.008078474551439285, 0.010686313733458519, 0.00875655934214592, 0.008786504156887531, 0.007967863231897354, 0.007720276713371277];[0.9289408572062486, 0.8693105619056615, 0.9654771462733485, 0.9329035857977768, 0.9430130072163814, 0.9744791736507361, 0.9106764659035212, 0.9923193573822362, 0.9427147927934263, 0.9601438252234986];[0.8773300688129435, 0.9901352835800598, 0.9467167913258128, 0.9746710743000927, 0.8872267537404195, 0.9394075780422099, 0.9996203076570367, 0.9479979830452188, 0.9265348219849637, 0.8628937973073254];0.2;0.004534982820041477;0.000410437450074682;0.00891258087940514;0.0012635738885970421;0.9419978773352835;0.03314671999940236;0.9352534459796082;0.04471415958946075
'timm-mobilenetv3_large_100';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005349993705749512, 0.005920159164816141, 0.006560007110238075, 0.005937531590461731, 0.005332962144166231, 0.004782541189342737, 0.005767546594142914, 0.006532042287290096, 0.0066911582835018635, 0.006477559916675091];[0.0008333227597177029, 0.0009187433170154691, 0.0013082867953926325, 0.00044608034659177065, 0.000771363964304328, 0.0006942680338397622, 0.0007119859219528735, 0.00022080185590311885, 0.0005531663191504776, 0.00019282771972939372];[0.9028276547855663, 0.9595982693187307, 0.824657728532342, 0.8701933591617925, 0.9319180579994287, 0.9507480099579596, 0.8932259105105801, 0.8510205840501386, 0.8866762690172839, 0.8246647221281385];[0.740229974339764, 0.7733473465185323, 0.7582254929836703, 0.7026636659871506, 0.7822624894333523, 0.6169123107758508, 0.7990155861628696, 0.7380749660480412, 0.6772909272731609, 0.8784938407582733];0.2;0.005935150198638439;0.0006061641959781951;0.0006650847033597529;0.00031648141803490717;0.8895530565461961;0.04574426421503286;0.7466516600280666;0.06777317845320321
'timm-resnest200e';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.003924365155398846, 0.004137156996876001, 0.0032700044102966785, 0.0034741193521767855, 0.003404551185667515, 0.004677900113165379, 0.0047268345952034, 0.004766594152897596, 0.002547848504036665, 0.0034822598099708557];[0.0146532217040658, 0.015267559327185154, 0.016640331596136093, 0.0155889131128788, 0.014531280845403671, 0.01418688427656889, 0.015727998688817024, 0.015727931633591652, 0.014897165820002556, 0.015259038656949997];[0.9237205941012507, 0.6962253652801743, 0.9696078510197791, 0.826019405384169, 0.85581721052014, 0.7206070207252906, 0.6770641435504325, 0.6584506953585731, 0.930005817891342, 0.9424822360468246];[0.6991173019482939, 0.6819351815660539, 0.677712279482757, 0.7098279562232862, 0.706239956209014, 0.6854855282055686, 0.6461739218426148, 0.6553329661256703, 0.6707427603241632, 0.6712492384533171];0.01;0.0038411634275689723;0.0006991815193778802;0.015248032566159964;0.0006806280419721282;0.8200000339877975;0.11545159854817359;0.6803817090380739;0.019738957775111567
'timm-resnest200e';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004668530076742172, 0.004192879889160395, 0.004802440758794546, 0.004701736383140087, 0.005615177098661661, 0.005797063000500202, 0.00543117756024003, 0.00443571712821722, 0.0042588296346366405, 0.005039650946855545];[0.00791667029261589, 0.00901004672050476, 0.009325327351689339, 0.008811255916953087, 0.010796686634421349, 0.009868503548204899, 0.01061998214572668, 0.008483853191137314, 0.009951496496796608, 0.008893451653420925];[0.9410980059641123, 0.9726119275830062, 0.9995723803759834, 0.9583311736780085, 0.9683787711063828, 0.9678325881195583, 0.8630663380748231, 0.9039432290281204, 0.9885272073760462, 0.8632170214694657];[0.8878105015563545, 0.8410088775320398, 0.8515844717985265, 0.8179944756134266, 0.8287491178311652, 0.8801294158656396, 0.9342469086377477, 0.8639543318149401, 0.8864952828365271, 0.8588732585451095];0.01;0.00489432024769485;0.0005335364249240221;0.009367727395147084;0.0008804976504579539;0.9426578642775507;0.04682777356813748;0.8650846642031477;0.03213122248437313
'timm-resnest200e';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005370949395000935, 0.004738798830658197, 0.005945754703134298, 0.007171695586293936, 0.006956992205232382, 0.00625377194955945, 0.0073679909110069275, 0.007725976407527924, 0.006002816371619701, 0.0060068462044000626];[0.0010936366161331534, 0.0010209819301962852, 0.0005303748766891658, 0.0004992527537979186, 0.0007897699251770973, 0.0003973241546191275, 0.0009156656451523304, 0.000393644324503839, 0.001709953066892922, 0.00036475370870903134];[0.9038913996513183, 0.9640782969432525, 0.9581399204303331, 0.8930822535012709, 0.9598900640037256, 0.7885546828167976, 0.8313755107710945, 0.9162137287114919, 0.9308150288218536, 0.9539550810455188];[0.39626095665274197, 0.4167980265115431, 0.30443115761672546, 0.38135231821246895, 0.5404545616409981, 0.5070317090740295, 0.43164897991604056, 0.24841875367571664, 0.37231679972462084, 0.3676206702098116];0.01;0.006354159256443381;0.0008909849123744667;0.0007715357001870871;0.00040599381901433357;0.9099995966696659;0.05602602800494901;0.3966333933234697;0.081633655302448
'timm-resnest269e';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0036625503562390804, 0.003789640497416258, 0.005024370271712542, 0.004685092717409134, 0.005351237487047911, 0.004628169350326061, 0.003922577016055584, 0.004677588120102882, 0.0039850627072155476, 0.004650956019759178];[0.016719479113817215, 0.015131141059100628, 0.015509141609072685, 0.014069068245589733, 0.015837233513593674, 0.015758324414491653, 0.015904391184449196, 0.01512101199477911, 0.015031564980745316, 0.01598937250673771];[0.793841185739724, 0.8459230976125002, 0.860907782679292, 0.7943402128665167, 0.6090215473503751, 0.8616098755639717, 0.8598105288616893, 0.7225179858938923, 0.8485292469786648, 0.6589189852692052];[0.5537535343411835, 0.586098327237478, 0.5592496685059828, 0.5614381676558537, 0.5887084586451492, 0.601656804476606, 0.5931231449466475, 0.5290382947822263, 0.6069402653043248, 0.5954689080108335];0.01;0.004437724454328417;0.000535752667624014;0.015507072862237691;0.0006794758369435358;0.7855420448815831;0.08712438060184793;0.5775475573906286;0.02391708899104827
'timm-resnest269e';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.008184530772268772, 0.007743689231574535, 0.007424629293382168, 0.006592042278498411, 0.009666753001511097, 0.00729025062173605, 0.005932515952736139, 0.007560643833130598, 0.006044784560799599, 0.007215962745249271];[0.015015263110399246, 0.016072586178779602, 0.01334624458104372, 0.016477273777127266, 0.016458243131637573, 0.015632670372724533, 0.017958905547857285, 0.01686042919754982, 0.018486153334379196, 0.020234424620866776];[0.00016275091120543372, 0.00014892834990709591, 0.0003442307146014345, 0.00046046799819188244, 0.0002461013763336295, 0.0003166608722678932, 0.0006240330610249867, 0.00027485915802305527, 0.0006225217606837807, 0.0005711779284278684];[0.0001771875692362368, 0.00017479789976682092, 0.00018905889318709956, 0.00015424733528157653, 0.00016052702671898178, 0.00017358191999317096, 0.00014790502329931066, 0.00014397759463502524, 0.00014006643494524074, 0.00013404895673951867];0.01;0.007365580229088664;0.0010283566725527;0.0166542193852365;0.0018165635408900077;0.00037717321306670606;0.00017209855609376495;0.00015953986538029817;1.745950017821698e-05
'timm-resnest269e';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006234484724700451, 0.00704740546643734, 0.0066936747170984745, 0.006626129616051912, 0.005482698790729046, 0.007291923277080059, 0.005558579228818417, 0.007441590074449778, 0.005244843661785126, 0.005964208394289017];[0.0009601764613762498, 0.0013798463623970747, 0.0002777787740342319, 0.0008055215002968907, 0.00034742936259135604, 0.0001170292089227587, 0.0007311156950891018, 8.190679363906384e-05, 0.0006314864149317145, 0.0008838712819851935];[0.9842870949064385, 0.9620509419964614, 0.9652769325552139, 0.9769270285820316, 0.8967756744748338, 0.9142364228765015, 0.890000063595686, 0.9931486132160094, 0.9811914006610272, 0.9976770742525981];[0.6650044811382833, 0.37167015557324246, 0.21352156643496323, 0.6914847635739693, 0.7263299005098881, 0.9436066236998035, 0.56352201584039, 0.6644745162528474, 0.46075121112721085, 0.3517458491507588];0.01;0.006358553795143962;0.0007430274985154215;0.0006216161855263636;0.00039287648822569426;0.95615712471168;0.03836644643601458;0.5652111083301357;0.2055541736304372
'inceptionresnetv2';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0057670194655656815, 0.006752295419573784, 0.008566795848309994, 0.005733956582844257, 0.00506350165233016, 0.0066581713035702705, 0.004958116915076971, 0.006105379201471806, 0.006346691399812698, 0.0064998469315469265];[0.021277356892824173, 0.02523907460272312, 0.023495467379689217, 0.023167816922068596, 0.022097434848546982, 0.021087437868118286, 0.023078953847289085, 0.021994050592184067, 0.02452523075044155, 0.023212403059005737];[0.0008993377972102978, 0.0008581566574390465, 0.0007510410333506634, 0.0004956036959681276, 0.0013699274374028292, 0.00040943250125946573, 0.0012026531602468138, 0.0009631151609699184, 0.0009540747018289553, 0.0012149031925874354];[0.0005624115563169774, 0.0004338606314558957, 0.00047758003531450655, 0.0004494656998503821, 0.0004514201769421078, 0.0005281810051471769, 0.0005089924812560209, 0.0004493031787390356, 0.000420962251150625, 0.0004878614143488669];0.01;0.006245177472010255;0.0009723792504522701;0.022917522676289083;0.0012668350046175475;0.0009118245338263553;0.0002907296119356961;0.0004770038430521595;4.2705114526327595e-05
'inceptionresnetv2';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004044024273753166, 0.0039186030626297, 0.004378039855509996, 0.0042840600945055485, 0.006274466402828693, 0.004541735164821148, 0.005514991004019976, 0.00497130211442709, 0.005014432594180107, 0.0046837180852890015];[0.010512907058000565, 0.011279442347586155, 0.00905776210129261, 0.010644531808793545, 0.009483437985181808, 0.008398298174142838, 0.010231697000563145, 0.011177990585565567, 0.009560223668813705, 0.010106673464179039];[0.9783936108655119, 0.9920706627551582, 0.8633733589057313, 0.875412926496498, 0.904740721773959, 0.9551163066100441, 0.8071865586714534, 0.9262447314237274, 0.9460659634908086, 0.9001169718285263];[0.9169792432157302, 0.8869077119525185, 0.9355919546361808, 0.9201422632187495, 0.8869999643302489, 0.8815837330640206, 0.9063379230176649, 0.957733712833074, 0.9518434841391817, 0.8507574947671439];0.01;0.004762537265196443;0.000679660276464875;0.010045296419411898;0.0008752813860939392;0.9148721812821418;0.05370500127166954;0.9094877485174514;0.03197828769623178
'inceptionresnetv2';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.009143509902060032, 0.011735540814697742, 0.011088469997048378, 0.011652447283267975, 0.009717581793665886, 0.011236447840929031, 0.009553968906402588, 0.00839919038116932, 0.011872535571455956, 0.00971387978643179];[0.0007470516720786691, 0.0007125152042135596, 0.0008005962008610368, 0.0006212345324456692, 0.00033678460749797523, 0.0008419035002589226, 0.0009338782401755452, 0.0012559796450659633, 0.0003383840958122164, 0.0007735597318969667];[4.807827649577767e-05, 3.875593447322245e-05, 1.3585482784073122e-05, 4.6821380739969776e-05, 0.00016864256843884817, 1.6730628164318695e-05, 3.9350331992094034e-05, 0.00011632621536106225, 2.7698706876133627e-05, 6.425950970367911e-05];[0.003142078817204852, 0.0021113468220111953, 0.0024131777667703025, 0.005591362542826217, 0.00615272263577038, 0.001955220280898007, 0.005056865048390868, 0.001741893502906433, 0.007571909231471219, 0.003330372505303547];0.01;0.010411357227712869;0.0011801369072981628;0.0007361887430306524;0.0002564467491462831;5.802490350291789e-05;4.6063462381641624e-05;0.0039066949153553025;0.0019366131468481482
'inceptionv4';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004844666458666325, 0.005097390152513981, 0.008072393015027046, 0.006401428487151861, 0.007035290822386742, 0.00504604447633028, 0.003996383864432573, 0.006138630211353302, 0.006059861741960049, 0.007272496819496155];[0.02619190514087677, 0.022636067122220993, 0.02538248896598816, 0.02171795442700386, 0.025643473491072655, 0.023429807275533676, 0.024474572390317917, 0.02412155084311962, 0.01954834908246994, 0.022901374846696854];[0.003644767003753935, 0.0013575847538620511, 0.0018103956695465495, 0.0013525641233584906, 0.001516467608181582, 0.0018815934425225889, 0.003829038330298906, 0.0013318733893474821, 0.0014811327683937892, 0.0016374778840606563];[0.0006443067470929265, 0.0007433378647336841, 0.0006587850856235589, 0.0007769963529802304, 0.0006844071218538028, 0.0007133397833820609, 0.0007270950204345539, 0.0007023140313949794, 0.0008603230963449837, 0.000744563626269068];0.01;0.005996458604931832;0.0011934704905774377;0.023604754358530045;0.0019108079220061202;0.0019842894973326032;0.0008950337546479782;0.0007255468730109849;5.9102101335795594e-05
